date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:09	529/529	---MCZ	200	added ('OK')	text/css	etag:W/%225dd0086b-211%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/style.css?ver=1.2.4	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/style9030.css	(from https://exponentwptheme.com/finance/)
10:25:10	96866/96866	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cde37d2-17a69%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/jquery/jquery4a5f.js	(from https://exponentwptheme.com/finance/)
10:25:10	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	https://exponentwptheme.com/finance/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://exponentwptheme.com/finance/)
10:25:10	119386/119386	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fc491a0-1d25a%22	https://exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/rbtools.min.js?ver=6.2.15	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/rbtools.minb724.js	(from https://exponentwptheme.com/finance/)
10:25:10	322398/322398	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fc491a0-4eb5e%22	https://exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.2.15	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/revslider/public/assets/js/rs6.minb724.js	(from https://exponentwptheme.com/finance/)
10:25:10	12230/12230	---MCZ	200	added ('OK')	application/javascript	etag:W/%225fd32772-2fc6%22	https://exponentwptheme.com/finance/wp-content/plugins/typehub/public/js/webfont.min.js?ver=5.3.6	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-content/plugins/typehub/public/js/webfont.min48f5.js	(from https://exponentwptheme.com/finance/)
10:25:11	14505/14505	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd0086b-38a9%22	https://qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/vendor/modernizr.min.js?ver=5.3.6	E:/My%20Web%20Sites/int/qu3r1v212d48cje431eqa61a-wpengine.netdna-ssl.com/wp-content/themes/exponent/js/vendor/modernizr.min48f5.js	(from https://exponentwptheme.com/finance/)
10:25:11	83151/83151	---MCZ	200	added ('OK')	application/json	date:Fri,%2025%20Dec%202020%2004:55:13%20GMT	https://exponentwptheme.com/finance/wp-json/	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-json/index.html	(from https://exponentwptheme.com/finance/)
10:25:12	876/876	---MCZ	200	added ('OK')	text/xml	date:Fri,%2025%20Dec%202020%2004:55:13%20GMT	https://exponentwptheme.com/finance/xmlrpc.php?rsd	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/xmlrpc0db0.php	(from https://exponentwptheme.com/finance/)
10:25:13	1045/1045	---MCZ	200	added ('OK')	application/xml	date:Fri,%2025%20Dec%202020%2004:55:15%20GMT	https://exponentwptheme.com/finance/wp-includes/wlwmanifest.xml	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-includes/wlwmanifest.xml	(from https://exponentwptheme.com/finance/)
10:25:14	2274/2274	---MCZ	200	added ('OK')	application/json	date:Fri,%2025%20Dec%202020%2004:55:16%20GMT	https://exponentwptheme.com/finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fexponentwptheme.com%2Ffinance%2F	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-json/oembed/1.0/embed5395.json	(from https://exponentwptheme.com/finance/)
10:25:15	2369/2369	---MCZ	200	added ('OK')	text/xml	date:Fri,%2025%20Dec%202020%2004:55:17%20GMT	https://exponentwptheme.com/finance/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fexponentwptheme.com%2Ffinance%2F&format=xml	E:/My%20Web%20Sites/int/exponentwptheme.com/finance/wp-json/oembed/1.0/embed36e7	(from https://exponentwptheme.com/finance/)
